Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Beyond Single-Metal Solutions,"Reasoning for ""Beyond Single-Metal Solutions""",Experimental Study with Clear Methodology,"Reasoning for ""Experimental Study with Clear Methodology""",Experimental Validation,"Reasoning for ""Experimental Validation""",Industrial Wastewater Treatment Medium,"Reasoning for ""Industrial Wastewater Treatment Medium""",Microalgae Species Identification,"Reasoning for ""Microalgae Species Identification""",Microalgae-Based Biosorption Focus,"Reasoning for ""Microalgae-Based Biosorption Focus""",Primary Focus on Microalgae,"Reasoning for ""Primary Focus on Microalgae""",Quantitative Metal Removal Measurement,"Reasoning for ""Quantitative Metal Removal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Risk Assessment of Toxic and Potentially Toxic Metals in Raw Goat Milk: A Systematic Review of Global Data and Environmental Factors,"ABSTRACT Goat milk is a culturally and nutritionally significant food worldwide, yet its safety regarding toxic and trace elements remains poorly defined. The absence of geographically balanced surveillance and the variability in contamination across rural, urban, and industrial environments limit reliable risk assessment for human exposure. We hypothesized that raw goat milk acts as a sentinel matrix for chronic exposure to toxic and potentially toxic elements, with risks strongly influenced by production systems and environmental contexts. Accordingly, the objective of this review was to systematically synthesize evidence from 20 studies conducted across Asia, Europe, and North Africa, quantifying toxic metals (arsenic, lead, cadmium, and mercury) and essential elements (chromium, nickel, copper, zinc, iron, manganese, and aluminum) relative to thresholds established by the World Health Organization (WHO), the European Food Safety Authority (EFSA), and the Institute of Medicine (IOM). Results revealed pronounced heterogeneity, with lead reaching 0.382 ± 0.0026 mg/L in rural Algeria, chromium peaking at 16.423 ± 0.349 mg/L in industrial Asaluyeh and 14.211 ± 0.205 mg/L in rural Kaki, Iran, and pediatric estimated daily intakes (EDIs) for Cr up to 2.74 × 10−1 mg/L body weight/day, whereas target hazard quotients (THQs) and hazard index (HI) values exceeded safety thresholds by up to two orders of magnitude. These findings demonstrate that raw goat milk is a heterogeneous yet consistent vector of chronic exposure to toxic elements, demanding harmonized monitoring frameworks, regionally adapted regulatory standards, and integrated risk assessments coupling chemical surveillance with agroecological and public health strategies.","Arlen Carvalho de Oliveira Almeida, Paloma de Almeida Rodrigues, M. P. Costa, C. Conte‐Junior",10.1111/1541-4337.70268,https://doi.org/10.1111/1541-4337.70268,Comprehensive Reviews in Food Science and Food Safety,0,2025,no,"While the study does look at multiple metals, it's not in the context of biosorption or wastewater treatment.",no,"This is a systematic review of 20 studies, not an experimental study. While it synthesizes quantitative data, it doesn't present original experimental methodology.",no,"While the paper includes data analysis, it's not conducting experimental validation of biosorption processes.",no,"The study examines goat milk, not industrial wastewater or synthetic wastewater.",no,No microalgae species are mentioned or studied in this paper.,no,The paper has no connection to microalgae or biosorption processes. It focuses entirely on metal contamination in goat milk.,no,"The primary focus is on goat milk as a food matrix for toxic element exposure, not on microalgae.",no,"The paper does not measure metal removal efficiency or biosorption capacity. Instead, it focuses on measuring existing metal concentrations in goat milk and calculating exposure risks.",Exclude,"The systematic review focuses on metal contamination in goat milk, completely diverging from the screening criteria related to microalgae-based biosorption and industrial wastewater treatment. No aspects of the study align with the required methodological, experimental, or species-specific parameters for microalgae metal removal research. The paper fundamentally addresses a different scientific domain and fails to meet any of the specified screening requirements.",0.1
"Techniques Used for Metals' Analysis of Organic Compounds in Wastewater, Greywater and Rainwater: A Brief Review","Water recycling is a sustainable way of managing water resources because of the large consumption of fresh water in the world caused by population growth, urbanization, and industrial development. However, the reuse of freshwater requires serious care due to the appearance of contaminants after its use, such as active chemicals, micropollutants, and pharmaceutical products. This study presents a systematic review of articles that includes terms of techniques used to assess metals and organic compounds in wastewater samples (a combination of effluents and water originated from bathrooms, showers, and kitchen sinks, and rainwater between the years 2000 and 2020).","Vinicius S. Santos, L. Guarieiro",10.34178/JBTH.V4I1.152,https://doi.org/10.34178/JBTH.V4I1.152,-,0,2021,no,"While multiple contaminants are mentioned, the focus is on analytical techniques rather than biosorption.",no,"This is a systematic review of articles, not an experimental study, and no experimental methodology is described.",no,"As a systematic review, it does not include original experimental data, and the focus is on reviewing existing literature.",no,"While wastewater is mentioned, it's in the context of domestic wastewater (bathrooms, showers, kitchen sinks), and not focused on industrial wastewater treatment.",no,There is no mention of microalgae species.,no,"There is no mention of microalgae or biosorption processes, and the focus is on analytical techniques for detecting metals and organic compounds.",no,There is no mention of microalgae at all.,no,"The abstract does not mention any specific metal removal measurements or quantitative outcomes, and it appears to be a review of analytical techniques rather than a study reporting removal efficiencies.",Exclude,"The systematic review focuses on analytical techniques for detecting contaminants in domestic wastewater, completely missing the specified screening criteria related to microalgae-based metal removal. No experimental methodology, microalgae species identification, or quantitative metal removal measurements are present, rendering the paper non-compliant with the established screening requirements.",0.1
Biofilms in Wastewater Treatment: A Systematic Review of Biological Design and Efficiency,"Biofilms are essential in modern biological wastewater treatment systems due to their unique structural and functional capabilities. This systematic review explores the role of biofilms in enhancing the efficiency of wastewater treatment, focusing on design considerations and microbial interactions. The review compiles and synthesizes data from recent studies to understand how biofilms contribute to pollutant removal, operational stability, and energy efficiency. Key findings indicate that biofilm-based systems, such as trickling filters, rotating biological contactors (RBC), and membrane bioreactors (MBR), offer superior contaminant degradation due to high microbial density and resilience. The study highlights future opportunities for optimizing biofilm engineering to meet environmental and regulatory challenges.","Yorasakhi Ananta, Salsabila Dwi Fitri",10.38035/dit.v2i3.1790,https://doi.org/10.38035/dit.v2i3.1790,Dinasti Information and Technology,0,2025,maybe,The abstract doesn't specify the types of pollutants or metals studied in the reviewed papers.,no,"This is a systematic review paper, not an experimental study. It compiles and synthesizes data from other studies rather than presenting original experimental work.",no,"As a systematic review, this paper doesn't present original experimental data or validation.",maybe,"While the paper discusses wastewater treatment, it doesn't specify whether the studies reviewed used industrial or synthetic wastewater.",no,No microalgae species are mentioned or identified in the abstract.,no,"The paper focuses on biofilms in general wastewater treatment, with no specific mention of microalgae. The focus appears to be on bacterial biofilms in systems like trickling filters and MBRs.",no,"The primary focus is on biofilms in general, with emphasis on bacterial systems rather than microalgae.",no,"The abstract does not mention any specific quantitative measurements for metal removal, such as removal efficiency or biosorption capacity. While it discusses ""pollutant removal"" generally, there is no indication of specific metrics.",Exclude,"The systematic review fails to meet multiple critical screening criteria, particularly those related to microalgae-based biosorption and experimental validation. Specifically, the paper lacks quantitative metal removal measurements, does not focus on microalgae species, and does not present original experimental data, rendering it unsuitable for the intended research scope.",0.1
Advances in wastewater remediation using functionalized metallic and semiconductor nanomaterials: A systematic review,"The increasing scarcity of water resources has driven the need for innovative solutions for wastewater reclamation using different nanomaterials. The purpose of the research was to establish the progress of wastewater remediation using functionalized metallic and semiconductor nanomaterials. A systematic review was carried out following the preferred reporting items for systematic reviews and meta-analyses (PRISMA) methodology with a search comprised between the years 2010 to 2024, from which 50 scientific articles were selected that met inclusion and exclusion criteria. Magnetic, noble, and chalcogenide metallic nanomaterials, as well as semiconductor nanomaterials, were considered. As an advance it was reported that the most efficient nanomaterial in the recovery of con - taminated water is ZnO that when functionalized has high adsorption capacity of several heavy metals ions (Cd 2+ , Hg 2+ and Pb 2+ ), being reusable for several cycles; for its part, functionalized CuO is highly efficient in the adsorp - tion of Ni²⁺ and Cd²⁺ having an efficiency of 99.16%; another advance found is the use of magnetic nanoparticles Fe 3 O 4 and Fe 2 O 3 for specific adsorption of heavy metal ions with efficiencies above 99%, and with significant re - usability with magnetic desorption methods; for adsorption of dyes and colorants the compound CoFe₂O₄ reaches efficiencies of 98.6% for methylene blue and 95.3% for rhodamine B; semiconducting nanomaterials such as TiO 2 stand out in the degradation of organic pollutants by photocatalysis, managing to remove up to 95% of dyes and pesticides; finally, advanced functionalization techniques, such as the use of L-cysteine in Au nanoparticles, have enabled the rapid detection of heavy metals through color changes in plasmons. It is concluded that these advances not only improve efficiency in the remediation of water contaminated by heavy metals, dyes, colorants, and or - ganic and inorganic pollutants in general but also promote sustainability through the repeated use of nanomaterials, which reduces costs and minimizes environmental impact.","Hipólito Carbajal Morán, J. M. Márquez Camarena, Carlos Abel Galván Maldonado, R. Z. Zárate Quiñones",10.12912/27197050/197170,https://doi.org/10.12912/27197050/197170,Ecological Engineering &amp; Environmental Technology,0,2025,no,"The paper does discuss multiple metals and complex solutions, but this is irrelevant given the paper's focus on nanomaterials rather than microalgae.",no,"This is a systematic review paper following PRISMA methodology, not an original experimental study. It synthesizes findings from 50 other papers rather than presenting new experimental work.",no,"As a review paper, it doesn't present original experimental data or validation, though it summarizes experimental findings from other studies.",maybe,"While the paper discusses wastewater treatment, it doesn't specifically indicate whether the studies reviewed used actual industrial wastewater or synthetic wastewater.",no,No microalgae species are mentioned or identified in this paper.,no,"The paper focuses on nanomaterials (metallic, semiconductor, and magnetic nanoparticles) for water remediation. There is no mention of microalgae or biosorption using microalgae.",no,"The primary focus is on nanomaterials, not microalgae. The paper discusses various types of nanoparticles but does not mention microalgae at all.",no,"The paper discusses removal efficiencies, but this is a review paper summarizing other studies rather than reporting original quantitative measurements.",Exclude,"This systematic review focuses on nanomaterials for water remediation, completely diverging from the specified screening criteria related to microalgae-based biosorption. The paper lacks experimental validation, microalgae species identification, and does not investigate microalgae as a primary biosorbent, rendering it fundamentally misaligned with the required research parameters. Consequently, the study fails to meet the essential screening requirements for inclusion in the systematic review.",0.1
Removal of antibiotics in constructed wetlands: a review and bibliometric analysis.,"This study offers a comprehensive systematic review on the removal of antibiotics in Constructed Wetlands (CWs), evaluating their efficacy as an alternative to conventional wastewater treatment methods. Data from 82 articles were analyzed, focusing on removal rates, antibiotic types, and system configurations, including scale, vegetation, sediment, flow, hydraulic retention time (HRT), and hydraulic loading rate (HLR). The findings indicate that full-scale CWs, particularly those utilizing vegetation like Cyperus alternifolius L. and materials such as shells, zeolites, medicinal stone, and ceramics, achieved removal rates exceeding 90% for various antibiotics. The study underscores the importance of optimizing both anaerobic and aerobic conditions to enhance removal efficiency, noting that aerobic environments promote oxidative processes effective for β-lactams, while anaerobic environments facilitate reduction processes beneficial for sulfonamides. Hybrid systems combining these zones demonstrated maximal removal efficiency. This review advances the understanding of antibiotic removal in CWs, presenting them as a viable, sustainable solution to mitigate environmental impacts, preserve water quality, and protect public health. Further research is recommended to explore the impact of root types and bed configurations on removal efficiency.","Valdemir F DA Silva, D. Wolff",10.1590/0001-3765202420240275,https://doi.org/10.1590/0001-3765202420240275,Anais da Academia Brasileira de Ciências,0,2024,no,"The study doesn't address metal solutions at all, focusing instead on antibiotic removal.",maybe,"While this is a systematic review that analyzes experimental studies, it's not a primary experimental study itself. It reviews 82 articles but isn't conducting original experiments.",no,"As a systematic review, this paper doesn't conduct its own experimental validation. It analyzes existing studies but doesn't generate new experimental data.",maybe,"While the study discusses wastewater treatment, it's specifically focused on antibiotic removal in constructed wetlands, not industrial wastewater with metals.",no,No microalgae species are mentioned or studied in this paper.,no,The study focuses on Constructed Wetlands (CWs) using vegetation like Cyperus alternifolius L. and various materials. There is no mention of microalgae.,no,"The primary focus is on constructed wetlands and specific vegetation types, not microalgae.",no,"The paper focuses on antibiotic removal, not metal removal. While it discusses removal rates, these are for antibiotics, not metals.",Exclude,"The systematic review focuses on antibiotic removal in constructed wetlands, completely diverging from the specified screening criteria related to microalgae-based metal biosorption. No aspects of the study align with the required parameters, including microalgae species, metal removal, or experimental validation of biosorption processes. The paper fundamentally addresses a different research domain and fails to meet any of the established screening requirements.",0.1
Multifunctional Liquid Metal for Biomimicry Application,"Liquid metal (LM), which possesses unique material properties such as excellent flexibility, high thermal and electrical conductivities, and biocompatibility, has demonstrated broad application potential in the fields of intelligent manufacturing, flexible electronics, and biomedical engineering. This paper presents a systematic review of recent advances in multifunctional LM materials for biomimetic applications, with a focus on 3D printing, catalysis, sensing, and biomedical technologies. Through advanced 3D printing techniques—including direct writing, embedded printing, and extrusion/infiltration—LM has been effectively utilized in the fabrication of high-precision electronic components. In catalysis, LM-based catalysts exhibit superior performance in energy conversion and environmental remediation due to their high catalytic activity and selectivity. Moreover, LM has made notable progress in the development of high-performance sensors and biomedical devices, contributing significantly to the advancement of health monitoring and intelligent diagnostic and therapeutic technologies. This review aims to provide theoretical insights and technical references for further research and engineering applications of liquid metals.","Yi-Ran Xu, You-Long Li, Yu-Kun Yi, Heng-Yang Bao",10.3390/biomimetics10090574,https://doi.org/10.3390/biomimetics10090574,Biomimetics,0,2025,no,"While the paper discusses liquid metals, it's not in the context of biosorption or wastewater treatment, and the focus is on manufacturing and biomedical applications.",no,"This is a review paper, not an experimental study, and while it discusses various applications, it doesn't present original experimental methodology.",no,"As a review paper, it doesn't present original experimental data, and the focus is on summarizing existing literature.",no,"There is no discussion of wastewater treatment, and the focus is on manufacturing, electronics, and biomedical applications.",no,"There is no mention of microalgae species, as the paper deals with liquid metals, not biological organisms.",no,"The paper focuses on liquid metals, not microalgae, and there is no mention of biosorption or microalgae anywhere in the abstract.",no,"The primary focus is on liquid metals, with no mention of microalgae or biosorption.",no,"The paper does not discuss any metal removal measurements or biosorption metrics, and instead focuses on liquid metal applications in manufacturing, electronics, and biomedical fields.",Exclude,"The abstract describes a review of liquid metal applications in manufacturing and biomedical technologies, which completely diverges from the specified screening criteria focused on microalgae-based metal biosorption. No aspects of the paper align with the required elements of microalgae species identification, industrial wastewater treatment, experimental validation, or quantitative metal removal measurements. The study fundamentally addresses a different research domain and fails to meet any of the established screening requirements.",0.1
Perspectives on the Fate of Absorbed Nitrogen in Dairy Farms,"The demand for milk rises dramatically due to the increased global population without damaging the standard of living. As a result, the scale of the dairy industry in the world is growing rapidly. Consequently, a concomitant problem that needs to be faced is the environmental impact of the by-products produced during the operation of the dairy farm. Among the substances produced in dairy farms, the most harmful pollutant to the environment is nitrogen (N). In addition, the N pollution from dairy farms is significant and N has a great danger to human health and society. This study provides a systematic review on how to alleviate N pollution from dairy cows during milk production and the removal of ammonia and nitrate from dairy wastewater via biochar adsorption. First, from a physiological perspective, the metabolic pathways of amino acids and ammonia in the rumen, portal-drained viscera, liver, and mammary gland of dairy cows are elaborated, as well as the measures to improve N utilization. In the second part, the progress of research on the removal of ammonia and nitrate by biochar adsorption and the involved mechanisms are summarized. Modified biochar has a significant improvement in nitrate removal due to weakening the repulsive effect of ions. Based on the review of this paper, it can provide relevant theoretical support for future studies on N pollution mitigation from dairy farms.","K. Zhao, B. Luo, Y. Wu, W. Liu",10.3808/jeil.202200095,https://doi.org/10.3808/jeil.202200095,Journal of Environmental Informatics Letters,0,2022,no,"The paper focuses on nitrogen compounds (ammonia and nitrate) rather than metals, and doesn't involve microalgae treatment.",no,"This is a systematic review paper, not an experimental study. It summarizes existing research rather than presenting new experimental data.",no,"As a review paper, it does not present new experimental data or validation.",no,"While the paper discusses dairy wastewater, it's not in the context of microalgae treatment, and it's a review rather than an experimental study.",no,No microalgae species are mentioned or studied in this paper.,no,"The paper focuses on biochar adsorption for nitrogen removal, not microalgae-based biosorption. There is no mention of microalgae anywhere in the abstract.",no,"The primary focus is on biochar adsorption, not microalgae.",no,"The paper focuses on nitrogen (ammonia and nitrate) removal, not metal removal. While it discusses removal processes, these are not metal-related measurements.",Exclude,"The systematic review paper focuses on nitrogen pollution and biochar adsorption in dairy wastewater, completely diverging from the specified screening criteria related to microalgae-based metal removal. No aspects of the paper align with the required experimental, methodological, or microalgae-specific parameters for inclusion in the systematic review. The study fundamentally addresses a different research domain and fails to meet any of the established screening requirements.",0.1
A systematic review. Efficacy of natural coagulants in the treatment of domestic wastewater.,"The objective of this article was to describe the efficacy of natural coagulants, as well as to explain their removal power compared to aluminum sulfate and to identify the best natural coagulant for turbidity removal in domestic wastewater treatment; For this, a qualitative research design was followed, collecting 50 articles, using inclusion and exclusion criteria. As results, the natural coagulants showed a great efficiency in the reduction of turbidity, varying from 23.07% to 98.69%, likewise there is a similarity between the natural coagulants and aluminum sulfate, being the most advantageous and natural ones. at the same time, it was recognized that Moringa Oleífera is the most effective in removing turbidity. In Conclusion, natural coagulants reduceturbidity between 23.07% and 99.60%, in turn, natural coagulants and alum have a high similarity, with turbidity levels between 53.85% and 99.44%.and 70%.at 98.69%, finally, Moringa Oleífera, eliminates higher levels of turbidity, with values between 53.85% and 99%.","Aleida Cristhel Alcántara Llovera, Diego Honorato Silva Chuquipoma",10.18687/laccei2023.1.1.205,https://doi.org/10.18687/laccei2023.1.1.205,"Proceedings of the LACCEI international multi-conference for engineering, education and technology",0,2023,no,"The study doesn't address metal removal at all, focusing instead on turbidity reduction.",no,"This appears to be a literature review (""collecting 50 articles"") rather than an experimental study. The methodology described is for the review process, not experimental work.",no,"As a literature review, this paper doesn't present original experimental data or validation.",no,"The study mentions domestic wastewater treatment, but doesn't specifically address industrial wastewater conditions.",no,No microalgae species are mentioned or identified in the study.,no,"The study focuses on natural coagulants, particularly Moringa Oleífera, which is a plant-based coagulant. There is no mention of microalgae or biosorption processes.",no,"The primary focus is on natural coagulants, specifically Moringa Oleífera, not microalgae.",no,"The paper focuses on turbidity removal, not metal removal. While it provides quantitative measurements (23.07% to 98.69% removal), these are not related to metal removal.",Exclude,"The study focuses on natural coagulants for turbidity removal in domestic wastewater, which fundamentally differs from the screening criteria targeting microalgae-based metal biosorption. No aspects of the research align with the specified requirements, including experimental methodology, microalgae species identification, or metal removal processes. The paper represents a literature review of coagulation techniques unrelated to the systematic review's core objectives.",0.1
Azolla as Water Purifier: a Systematic Review,"Water pollution is a critical issue for human health, aquatic plants, and animal biodiversity. While there are several different approaches to resolve this issue, our research investigates one possible solution of using aquatic plants as a natural treatment system. The objective of this study is to find evidence supporting Azolla as a water purifier from different data electronic base. This review-based study was done with the systematic review method. This study was done in December 2021, in which only research papers published in the last 10 years were included. The research papers were searched in four data hubs NCBI; SpringerLink; Scopus, and PubMed based on the electronic database. Results of the study show that the Azolla has a symbiotic relationship with the cyanobacteria Nostoc azollae, which live in special cavities inside Azolla's leaves. Finally, Azolla could play as one of the most promising agents for COD removal and treatment of nitrogen-free and rich phosphorus wastewaters.",Dr. Yogesh Babu Dixit,10.48175/ijarsct-6259,https://doi.org/10.48175/ijarsct-6259,"International Journal of Advanced Research in Science, Communication and Technology",0,2021,no,"The study does not mention metal solutions or biosorption, and its focus is on COD, nitrogen, and phosphorus removal rather than testing biosorption using industrial wastewater or complex multi-metal solutions.",no,"This is a review-based study, not an experimental study, and it uses systematic review methodology to analyze existing literature rather than conducting an experimental study with clear methodology.",no,"This is a review paper, not an experimental study, and it does not include any original experimental data or validation.",no,The study mentions wastewater treatment but does not specify the use of actual industrial wastewater or synthetic wastewater that simulates industrial conditions as the treatment medium.,no,"The study focuses on Azolla and Nostoc azollae (cyanobacteria), and does not clearly identify any microalgae species or strains used in the biosorption process.",no,"The study focuses on Azolla (a floating aquatic plant) and its symbiotic cyanobacteria, and does not investigate microalgae-based biosorption processes for the removal of copper, nickel, cobalt, lithium, rare earth elements, or other heavy metals.",no,"The primary focus of the study is on Azolla, not microalgae, and it does not investigate microalgae as the primary biosorbent.",no,"The abstract does not mention any quantitative measurements for metal removal, and only mentions COD removal and nitrogen/phosphorus treatment. This indicates that the study does not report quantitative, measurable outcomes such as removal efficiency, biosorption capacity, or concentration reduction for metal removal.",Exclude,"The systematic review focuses on Azolla and its symbiotic cyanobacteria for water treatment, but fails to meet any of the specified screening criteria related to microalgae-based metal removal. Specifically, the study lacks quantitative metal removal measurements, experimental validation, microalgae species identification, and does not address biosorption processes or industrial wastewater treatment. The research fundamentally differs from the targeted systematic review requirements.",0.1
Advances In Heavy Metal Detection: From Traditional To 3D-Printed And Smartphone-Based Methods,"This systematic review investigates recent advancements in heavy metal detection technologies, spanning from traditional techniques to innovative 3D-printed and smartphone-based approaches. Employing the PRISMA methodology, a thorough search across scientific databases identified 212 articles relevant to heavy metal detection. After screening titles, abstracts, and full-texts based on inclusion and exclusion criteria, 45 studies were selected for detailed review and analysis. The review provides a comparative evaluation of detection methods by examining factors such as sensitivity, accuracy, cost-effectiveness, portability, and environmental sustainability. Traditional detection techniques, such as atomic absorption spectroscopy (AAS) and inductively coupled plasma mass spectrometry (ICP-MS), remain the gold standard due to their high sensitivity and precision; however, they often require sophisticated equipment, controlled environments, and are resource-intensive. This review discusses the strengths and limitations of each method, highlighting the potential of novel technologies to enhance accessibility and efficiency in real-time, on-site heavy metal monitoring. Concluding insights outline future research directions aimed at optimizing detection technologies to meet evolving needs in environmental monitoring, public health, and industrial safety applications.","Md Sultan Mahmud, MD Mahamudul Hasan, Md Rabbi Khan, Md Baharul Islam",10.70937/jnes.v1i01.25,https://doi.org/10.70937/jnes.v1i01.25,Innovatech Engineering Journal,0,2024,no,"While the paper discusses heavy metal detection broadly, it is not in the context of biosorption.",no,"This is a systematic review, not an experimental study. While it follows PRISMA methodology, it does not present original experimental work.",no,"While the paper reviews experimental studies, it is not presenting original experimental data. It is a review of detection technologies rather than validation of removal processes.",no,There is no mention of wastewater treatment. The focus is on detection methods in general environmental monitoring.,no,There is no mention of microalgae species.,no,The paper does not mention microalgae or biosorption at all. It focuses entirely on detection technologies.,no,The paper has no focus on microalgae. It focuses on detection technologies.,no,"The paper does not report any quantitative metal removal measurements such as removal efficiency, biosorption capacity, or concentration reduction. Instead, it focuses on detection technologies rather than removal processes.",Exclude,"This systematic review on heavy metal detection technologies fundamentally differs from the specified screening criteria, which focus on microalgae-based biosorption and metal removal processes. The paper comprehensively examines detection methodologies but lacks any investigation of microalgae, experimental metal removal, or wastewater treatment, rendering it non-compliant with all established screening requirements.",0.1
"Análisis de cadmio, plomo, níquel y arsénico en plantas de cacao y derivados: Industria Alimentaria","INTRODUCTION. Cocoa is a raw material produced mainly in several countries in America, Africa and Asia. The cultivation of cocoa is one of the main socio-economic activities in Ecuador, being the first exporter of fine aroma cocoa beans in America. OBJECTIVE. The objective of this article is to review research to analyze the problem of cadmium, lead, arsenic and nickel content in plantation soils and in products derived from cocoa. METHOD. A systematic review was carried out consulting 18 articles from the main databases. RESULTS. Analysis of heavy metals related to cocoa was found in different countries of the world. DISCUSSION AND CONCLUSIONS. It has been found that the cultivation of cocoa and its post-harvest derivatives can have high concentrations of cadmium, lead, nickel and arsenic, the legislation is not clear enough or there are no limits of heavy metals for this raw material. Working on predictive models to determine a possible heavy metal contamination is essential for the industrial sector, as well as mitigation tools in the field and in production.","R. Ordoñez-Araque, Andre Lopez-Cortez, Francisco Casa-Lopez, Edgar F. Landines-Vera, E. Fuentes",10.33210/ca.v9i4.351,https://doi.org/10.33210/ca.v9i4.351,-,0,2020,no,"While multiple metals are discussed (cadmium, lead, arsenic, nickel), this is in the context of cocoa contamination, not biosorption, and is not relevant to the intended focus of the screening criteria.",no,"This is a systematic review of existing literature, not an experimental study, and no experimental methodology is described.",no,"As a review paper, it does not include original experimental data, and no validation studies are mentioned.",no,"The study examines soil and cocoa products, not industrial wastewater, and no treatment medium is discussed.",no,No microalgae species are mentioned or studied.,no,"The paper focuses on heavy metals in cocoa cultivation and products, with no mention of microalgae or biosorption processes.",no,"The primary focus is on cocoa cultivation and heavy metals, with no mention of microalgae.",no,"The paper does not report any quantitative measurements of metal removal, as it appears to be a review of heavy metal content in cocoa products rather than a study of metal removal.",Exclude,"The systematic review on heavy metals in cocoa products completely fails to meet any of the specified screening criteria related to microalgae-based biosorption. No experimental methodology, microalgae species, industrial wastewater treatment, or quantitative metal removal measurements are present in the study. The research is fundamentally misaligned with the intended screening requirements.",0.1
